slug,had_duplication_bug,had_verbatim_lift,change_type,original_excerpt,rewritten_to
a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte,Y,N,DUP,This provides evidence in support of the feasibility and effectiveness of shorte,(removed; already covered / no distinct point)
a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba,Y,N,DUP,"We found 23 studies, mostly of unclear risk of bias, including 1815 adults with ","Several of the pooled studies had methodological weaknesses, which lowers confidence in the result. | The evidence is li"
a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin,Y,N,DUP,No conclusions could be drawn from pooled data for burnout due to ambivalence in,"There were signs of publication bias, so the true effect may be smaller than reported. | The evidence is limited or mixe"
benefits-of-preparing-for-childbirth-with-mindfulness-training-a-rando,N,Y,LIFT,"This study﻿, the Prenatal Education About Reducing Labor Stress (PEARLS) study, ",(removed; already covered / no distinct point)
brief-daily-meditation-enhances-attention-memory-mood-and-emotional-re,Y,Y,LIFT,Meditation is an ancient practice that cultivates a calm yet focused mind; howev,(removed; already covered / no distinct point)
brief-daily-meditation-enhances-attention-memory-mood-and-emotional-re,Y,Y,DUP,This study not only suggests a lower limit for the duration of brief daily medit,(removed; already covered / no distinct point)
brief-mindfulness-training-for-negative-affectivity-a-systematic-revie,Y,Y,LIFT,"However, when accounting for publication bias, the overall effect size of brief ","There were signs of publication bias, so the true effect may be smaller than reported."
brief-mindfulness-training-for-negative-affectivity-a-systematic-revie,Y,Y,DUP,"Quantitative analyses indicated the presence of publication bias (i.e., unpublis","The evidence is limited or mixed, so firm conclusions are not yet warranted."
conceptual-and-methodological-issues-in-research-on-mindfulness-and-me,N,Y,LIFT,Included among the key topics is the role of first-person experience and how it ,"Key outcomes were self-reported, which can inflate apparent effects. | Participants could not be blinded to the practice"
effectiveness-of-online-mindfulness-interventions-on-medical-students-,Y,N,DUP,There was insufficient evidence to support the use of online mindfulness interve,"The evidence is limited or mixed, so firm conclusions are not yet warranted."
effects-of-mindfulness-training-and-exercise-on-cognitive-function-in-,N,Y,LIFT,There were 5 reported secondary outcomes: hippocampal volume and dorsolateral pr,"Key outcomes were self-reported, which can inflate apparent effects."
effects-of-mindfulness-yoga-vs-stretching-and-resistance-training-exer,N,Y,LIFT,Generalized estimating equation analyses revealed that the yoga group had signif,"The participants may not represent the general population, which limits how far the findings generalize."
