slug,mechanism_overlap,study_type,had_flat_nontransfer_limitation,reconciled,attention_only_meta_F25,practice,title
a-randomised-active-controlled-trial-to-examine-the-effects-of-an-onli,attention,RCT,Y,Y,N,mindfulness / meditation,A randomised active-controlled trial to examine th
a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte,attention,RCT,Y,Y,N,mindfulness / meditation,A randomised controlled trial of a brief online mi
a-randomized-controlled-trial-of-mindfulness-meditation-for-chronic-in,attention,RCT,Y,Y,N,Mindfulness-Based Stress Reduction (MBSR),A randomized controlled trial of mindfulness medit
a-structured-literature-review-on-the-role-of-mindfulness-mindful-eati,attention,Cross-sectional / Mechanistic,Y,Y,N,mindfulness / meditation,A structured literature review on the role of mind
a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba,attention,Meta-analysis / Systematic review,N,N,Y,Mindfulness-Based Stress Reduction (MBSR),A systematic review and meta-analysis of acceptanc
a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,A systematic review and meta-analysis of workplace
a-systematic-review-of-the-neurophysiology-of-mindfulness-on-eeg-oscil,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,A systematic review of the neurophysiology of mind
benefits-of-preparing-for-childbirth-with-mindfulness-training-a-rando,attention,RCT,Y,Y,N,mindfulness / meditation,Benefits of preparing for childbirth with mindfuln
breathing-practices-for-stress-and-anxiety-reduction-conceptual-framew,breath,Meta-analysis / Systematic review,Y,Y,N,breath-and-attention meditation,Breathing Practices for Stress and Anxiety Reducti
brief-daily-meditation-enhances-attention-memory-mood-and-emotional-re,attention,RCT,Y,Y,N,mindfulness / meditation,"Brief, daily meditation enhances attention, memory"
brief-mindfulness-based-training-and-mindfulness-trait-attenuate-psych,attention,RCT,Y,Y,N,yoga,Brief mindfulness-based training and mindfulness t
brief-mindfulness-training-for-negative-affectivity-a-systematic-revie,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Brief mindfulness training for negative affectivit
conceptual-and-methodological-issues-in-research-on-mindfulness-and-me,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Conceptual and methodological issues in research o
cultivating-mindfulness-effects-on-well-being,attention,RCT,Y,Y,N,Mindfulness-Based Stress Reduction (MBSR),Cultivating mindfulness: effects on well-being
does-mindfulness-based-stress-reduction-training-have-an-impact-on-the,attention,RCT,Y,Y,N,Mindfulness-Based Stress Reduction (MBSR),Does mindfulness-based stress reduction training h
effect-of-a-single-session-of-yoga-and-meditation-on-stress-reactivity,breath,Meta-analysis / Systematic review,Y,Y,N,yoga,Effect of a single session of yoga and meditation 
effect-of-mindfulness-yoga-on-anxiety-and-depression-in-early-breast-c,attention,RCT,Y,Y,N,yoga,Effect of mindfulness yoga on anxiety and depressi
