page,claim_text,claim_strength,study_type,source_doi,practice_studied,is_MoM,theme,null_or_critical,bidmc,reviewer_signoff
/mom-meditation-microsite/research/a-randomised-active-controlled-trial-to-examine-the-effects-of-an-onli/,"The aim of this study was to test this claim by investigating the effects of an online mindfulness intervention on executive function, critical thinking skills and associated thinking dispositions.",Randomized-trial evidence,RCT,10.1186/s40359-018-0226-3,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-active-controlled-trial-to-examine-the-effects-of-an-onli/,"However, no significant effects of group allocation were observed for either primary or secondary measures.",Randomized-trial evidence,RCT,10.1186/s40359-018-0226-3,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-active-controlled-trial-to-examine-the-effects-of-an-onli/,No evidence was found to suggest that engaging in guided mindfulness practice for 6 weeks using the online intervention method applied in this study improves critical thinking performance.,Randomized-trial evidence,RCT,10.1186/s40359-018-0226-3,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte/,There is growing evidence that mindfulness has positive consequences for both psychological and physical health in both clinical and non-clinical populations.,Randomized-trial evidence,RCT,10.1016/j.brat.2013.06.003,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte/,"Participation in the intervention was associated with significant improvements in all measured domains, where no significant changes on these measures were found for the control group.",Randomized-trial evidence,RCT,10.1016/j.brat.2013.06.003,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte/,This provides evidence in support of the feasibility and effectiveness of shorter self-guided mindfulness-based interventions.,Randomized-trial evidence,RCT,10.1016/j.brat.2013.06.003,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomized-controlled-trial-of-kundalini-yoga-in-mild-cognitive-impa/,"At baseline, 81 participants had no significant baseline group differences in clinical or demographic characteristics.",Randomized-trial evidence,RCT,10.1017/S1041610216002155,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/a-randomized-controlled-trial-of-mindfulness-meditation-for-chronic-in/,"Post hoc analyses revealed that each intervention was superior to SM on each of the patient-reported measures, but no significant differences were found when comparing MBSR to MBTI from baseline-to-post.",Randomized-trial evidence,RCT,10.5665/sleep.4010,Mindfulness-Based Stress Reduction (MBSR),N,Sleep,,N,
/mom-meditation-microsite/research/a-randomized-controlled-trial-of-mindfulness-meditation-for-chronic-in/,Mindfulness meditation appears to be a viable treatment option for adults with chronic insomnia and could provide an alternative to traditional treatments for insomnia.,Randomized-trial evidence,RCT,10.5665/sleep.4010,Mindfulness-Based Stress Reduction (MBSR),N,Sleep,,N,
/mom-meditation-microsite/research/a-structured-literature-review-on-the-role-of-mindfulness-mindful-eati/,There is a lack of compelling evidence for the effectiveness of mindfulness and mindful eating in weight management.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1017/S0954422417000154,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/a-structured-literature-review-on-the-role-of-mindfulness-mindful-eati/,The evidence base for intuitive eating is limited to date and further research is needed to examine its potential in altering eating behaviours.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1017/S0954422417000154,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/a-structured-literature-review-on-the-role-of-mindfulness-mindful-eati/,"Mindfulness appears to work by an increased awareness of internal, rather than external, cues to eat.",Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1017/S0954422417000154,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba/,This meta-analysis systematically reviewed the evidence on standardized acceptance-/mindfulness-based interventions in DSM-5 anxiety disorders.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1038/s41598-021-99882-w,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba/,"We found 23 studies, mostly of unclear risk of bias, including 1815 adults with different DSM-5 anxiety disorders.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1038/s41598-021-99882-w,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba/,The evidence suggests short-term anxiolytic effects of acceptance- and mindfulness-based interventions.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1038/s41598-021-99882-w,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin/,"It synthesizes randomized controlled trial evidence from workplace-delivered training for changes in mindfulness, stress, mental health, well-being, and work performance outcomes.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ocp0000146,mindfulness / meditation,N,Sleep,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin/,"Results indicate beneficial effects following training for mindfulness (g = 0.45, p < .001) and stress (g = 0.56, p < .001), anxiety (g = 0.62, p < .001) and psychological distress (g = 0.69, p < .001), and for well-being (g = 0.46, p = .002) and sleep (g = 0.26, p = .003).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ocp0000146,mindfulness / meditation,N,Sleep,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin/,"No conclusions could be drawn from pooled data for burnout due to ambivalence in results, for depression due to publication bias, or for work performance due to insufficient data.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ocp0000146,mindfulness / meditation,N,Sleep,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-of-the-neurophysiology-of-mindfulness-on-eeg-oscil/,"The systematic review revealed that mindfulness was most commonly associated with enhanced alpha and theta power as compared to an eyes closed resting state, although such outcomes were not uniformly reported.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.neubiorev.2015.09.018,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/a-systematic-review-of-the-neurophysiology-of-mindfulness-on-eeg-oscil/,"In summary, mindfulness is associated with increased alpha and theta power in both healthy individuals and in patient groups.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.neubiorev.2015.09.018,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/acceptance-and-commitment-therapy-and-yoga-for-drug-refractory-epileps/,The results indicate that both ACT and yoga significantly reduce seizure index and increase quality of life over time.,Randomized-trial evidence,RCT,10.1016/j.yebeh.2008.02.009,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/acceptance-and-commitment-therapy-and-yoga-for-drug-refractory-epileps/,"The results of this study suggest that complementary treatments, such as ACT and yoga, decrease seizure index and increase quality of life.",Randomized-trial evidence,RCT,10.1016/j.yebeh.2008.02.009,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/benefits-of-preparing-for-childbirth-with-mindfulness-training-a-rando/,"Mindfulness approaches, now widely disseminated, can alleviate symptoms of both chronic and acute pain and improve psychological adjustment, suggesting potential benefit when applied to childbirth education.",Randomized-trial evidence,RCT,10.1186/s12884-017-1319-3,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/benefits-of-preparing-for-childbirth-with-mindfulness-training-a-rando/,"This study suggests mindfulness training carefully tailored to address fear and pain of childbirth may lead to important maternal mental health benefits, including improvements in childbirth-related appraisals ﻿and﻿ the prevention of postpartum depression symptoms.",Randomized-trial evidence,RCT,10.1186/s12884-017-1319-3,mindfulness / meditation,N,Stress & Anxiety,,N,
